feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
layer_action_expert_layer_07,100,libero_10,100,0.56,0.7895600525364049,0.7877435064935066,0.19378089201079843,0.8205367850523274,0.7313311688311688,0.7469135802469136,8,162,0.6824479798752016
layer_action_expert_layer_07,100,libero_goal,100,0.17,0.6064124021568601,0.8440822111977322,0.11255622401691162,0.7231142506546108,0.776045357902197,0.7804878048780488,8,123,0.5453124748197548
layer_action_expert_layer_07,100,libero_object,100,0.33,0.9677715374857563,0.9755766621438263,0.09726157147718587,0.8982153271316687,0.9547715965626413,0.9763313609467456,9,169,0.3322135766127948
layer_action_expert_layer_07,100,libero_spatial,100,0.39,0.8289268347470764,0.8474148802017655,0.16451378212593723,0.7989037910934446,0.8011769651113914,0.8461538461538461,8,169,0.43004317008057946
layer_action_expert_layer_11,100,libero_10,100,0.56,0.8865610354462796,0.8506493506493507,0.1812767555675286,0.8153941975057175,0.7325487012987013,0.7716049382716049,8,162,0.6369834037795676
layer_action_expert_layer_11,100,libero_goal,100,0.17,0.6639131963850363,0.8447909284195607,0.10911459137342894,0.72988584620274,0.8100637845499646,0.7804878048780488,8,123,0.6856514049716437
layer_action_expert_layer_11,100,libero_object,100,0.33,0.9210524354391281,0.9651741293532339,0.09913878025521262,0.8900295435633566,0.9443690637720488,0.9704142011834319,9,169,0.27499993068087397
layer_action_expert_layer_11,100,libero_spatial,100,0.39,0.826354218300108,0.8684321143337538,0.15732831855107224,0.8068813899789445,0.8146279949558637,0.8579881656804734,8,169,0.32089013637084945
layer_action_expert_layer_15,100,libero_10,100,0.56,0.8668088383447341,0.8096590909090909,0.19012036923561612,0.8223294711105591,0.7276785714285714,0.7469135802469136,8,162,0.6403783571494807
layer_action_expert_layer_15,100,libero_goal,100,0.17,0.5670167008567305,0.8781006378454996,0.10597355289597253,0.7719148008022472,0.8752657689581858,0.8780487804878049,8,123,0.6714240918712584
layer_action_expert_layer_15,100,libero_object,100,0.33,0.9380223204536839,0.9728629579375849,0.10192098386251094,0.9063605248281459,0.9479873360470374,0.9763313609467456,9,169,0.26215713572876154
layer_action_expert_layer_15,100,libero_spatial,100,0.39,0.9192561688048126,0.9184531315678857,0.1407948515633286,0.827449828920204,0.825136612021858,0.9053254437869822,8,169,0.2788404277881855
layer_vlm_layer_03,100,libero_10,100,0.56,0.7643614177853824,0.7232142857142857,0.2160275315658539,0.7738983202103964,0.7207792207792207,0.7901234567901234,8,162,0.6731107382457568
layer_vlm_layer_03,100,libero_goal,100,0.17,0.4145386424438354,0.7491141034727143,0.12432344865605582,0.5917086683060816,0.7094259390503189,0.7073170731707317,8,123,0.5858589637964025
layer_vlm_layer_03,100,libero_object,100,0.33,0.8568991870129083,0.9122568973315242,0.13004681195881193,0.8246126499590232,0.921302578018996,0.9526627218934911,9,169,0.3264561846498407
layer_vlm_layer_03,100,libero_spatial,100,0.39,0.8598028212005924,0.8705338377469526,0.15471610815979678,0.7889311414041924,0.8049600672551493,0.8698224852071006,8,169,0.4134891746539075
layer_vlm_layer_07,100,libero_10,100,0.56,0.7838760306475145,0.7349837662337663,0.20999927552758485,0.7861611166210032,0.7219967532467533,0.7839506172839507,8,162,0.5982191146753991
